ID,Name,Address,Zip,Date,Result
6637,:08 Seconds,201 W University Avenue,32601,2/14/17,Satisfactory
6539,"6th Street North, LLC",4401 NW 6th Street,32609,7/29/16,Satisfactory
5414,"6th Street North, LLC",4401 NW 6th Street,32609,8/5/16,Satisfactory
4843,A.Q. Jones Center,1108 NW 7th Avenue,32601,4/19/16,Satisfactory
7637,A.Q. Jones Center,1108 NW 7th Avenue,32601,7/7/16,Satisfactory
4484,A.Q. Jones Center,1108 NW 7th Avenue,32601,10/5/16,Satisfactory
8040,A.Q. Jones Center,1108 NW 7th Avenue,32601,1/11/17,Satisfactory
1942,A.Q. Jones Center,1108 NW 7th Avenue,32601,5/2/16,Satisfactory
1250,Acute Care Services/ CSU,1541 SW Williston Road,32608,9/16/16,Satisfactory
8389,Acute Care Services/ CSU,1541 SW Williston Road,32608,2/24/17,Satisfactory
7579,Acute Care Services/Detox,1541 SW Williston Road,32608,9/16/16,Satisfactory
7095,Acute Care Services/Detox,1541 SW Williston Road,32608,2/24/17,Satisfactory
9974,AFC Sushi @ UFL 001,Reitz Union Food Court,32611,6/27/16,Satisfactory
5620,AFC Sushi @ UFL 001,Reitz Union Food Court,32611,9/16/16,Satisfactory
5722,AFC Sushi @ UFL 001,Reitz Union Food Court,32611,12/1/16,Satisfactory
1439,AFC Sushi @ UFL 001,Reitz Union Food Court,32611,3/23/17,Satisfactory
9520,Alachua County Metamorphosis Program,4201 SW 21st Place,32607,5/13/16,Satisfactory
4514,Alachua County Metamorphosis Program,4201 SW 21st Place,32607,8/9/16,Satisfactory
5609,Alachua County Metamorphosis Program,4201 SW 21st Place,32607,11/9/16,Satisfactory
9502,Alachua County Metamorphosis Program,4201 SW 21st Place,32607,1/4/17,Satisfactory
3533,Alachua County Senior Recreation Center,5701 NW 34th Boulevard,32653,5/10/16,Satisfactory
7481,Alachua County Senior Recreation Center,5701 NW 34th Boulevard,32653,7/13/16,Satisfactory
9770,Alachua County Senior Recreation Center,5701 NW 34th Boulevard,32653,10/12/16,Satisfactory
9951,Alachua County Senior Recreation Center,5701 NW 34th Boulevard,32653,1/17/17,Satisfactory
9250,Alachua County Sheriff's Office,3333 NE 39th Avenue,32609,3/31/16,Satisfactory
